City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,aswan,24.09,32.9,54.73,36,0,8.63,EG,1577571112
383,morgan city,29.7,-91.21,78.8,88,90,10.29,US,1577571136
384,quibor,9.93,-69.62,95.0,39,100,11.41,VE,1577571136
385,laguna,16.17,-88.94,79.45,61,97,6.24,BZ,1577571136
386,cranbrook,49.51,-115.76,23.0,73,90,4.7,CA,1577571137
387,baykit,61.68,96.39,-21.71,96,100,3.4,RU,1577571137
388,changping,40.22,116.23,28.99,85,0,2.24,CN,1577570960
389,harper,30.3,-99.24,55.0,81,90,10.87,US,1577571138
390,pemba,-12.97,40.52,77.0,100,75,4.7,MZ,1577571138
391,iqaluit,63.75,-68.52,-11.0,69,20,13.87,CA,1577571138
392,matli,25.04,68.66,56.44,19,0,5.26,PK,1577571138
393,parana,-7.52,-72.89,84.2,79,75,5.82,BR,1577571139
394,torres,-29.34,-49.73,75.2,88,0,19.24,BR,1577571139
395,jian,25.65,87.89,53.19,60,0,7.81,IN,1577571139
396,virginia beach,36.85,-75.98,63.0,71,75,3.36,US,1577570990
397,visnes,59.36,5.22,46.4,93,100,19.46,NO,1577571139
398,donskoye,45.45,41.98,32.0,76,97,4.47,RU,1577571140
399,kapustin yar,48.58,45.77,28.8,67,78,2.66,RU,1577571140
400,bathsheba,13.22,-59.52,79.75,72,38,14.03,BB,1577571140
401,angoche,-16.23,39.91,78.49,88,100,2.04,MZ,1577571140
402,katsuura,33.93,134.5,37.4,74,75,8.05,JP,1577571140
403,malanje,-9.54,16.35,65.41,97,100,5.01,AO,1577571141
404,caldas da rainha,39.41,-9.13,60.01,76,0,6.93,PT,1577571141
405,anadyr,64.73,177.51,-27.0,74,4,4.47,RU,1577571141
406,havre,48.55,-109.68,32.0,60,1,6.93,US,1577571141
407,sisimiut,66.94,-53.67,9.16,90,100,3.47,GL,1577571141
408,uyuni,-20.46,-66.82,59.22,46,96,9.55,BO,1577571142
409,marystown,47.17,-55.16,34.0,100,73,8.99,CA,1577571142
410,dudinka,69.41,86.18,-11.2,76,100,15.66,RU,1577571142
411,floro,61.6,5.03,48.2,81,100,31.09,NO,1577571142
412,saint anthony,43.97,-111.68,19.0,72,90,5.82,US,1577571063
413,bintulu,3.17,113.03,77.0,100,75,1.81,MY,1577571143
414,concepcion del uruguay,-32.48,-58.24,93.0,58,100,1.99,AR,1577571143
415,banjar,-7.37,108.54,74.37,95,100,1.34,ID,1577571143
416,suwalki,54.11,22.93,28.65,72,99,10.07,PL,1577571143
417,fuerte,17.54,120.36,71.22,87,0,3.36,PH,1577571144
418,kushikino,31.72,130.27,39.2,86,75,3.36,JP,1577571144
419,chodavaram,17.44,81.78,62.1,89,17,2.86,IN,1577571144
420,kirakira,-10.46,161.92,79.68,74,0,3.2,SB,1577571144
421,caraquet,47.79,-64.94,32.0,70,90,17.22,CA,1577571011
422,kirkuk,35.47,44.4,46.58,77,0,4.54,IQ,1577571145
423,montevideo,44.94,-95.72,33.8,98,90,11.41,US,1577571145
424,turukhansk,65.8,87.96,-5.62,95,100,18.16,RU,1577571145
425,tailai,46.39,123.41,-2.63,96,100,15.35,CN,1577571146
426,birao,10.3,22.78,67.21,18,68,7.63,CF,1577571146
427,monze,-16.28,27.48,68.41,85,2,2.13,ZM,1577571146
428,poum,41.28,20.71,24.84,70,0,4.79,MK,1577571146
429,pinheiro machado,-31.58,-53.38,72.81,86,100,15.7,BR,1577571146
430,jalu,29.03,21.55,54.52,75,0,9.6,LY,1577571147
431,alhama de murcia,37.85,-1.43,50.0,100,20,3.36,ES,1577571147
432,locharbriggs,55.1,-3.58,51.01,87,100,13.87,GB,1577571147
433,atar,20.52,-13.05,68.16,11,0,8.52,MR,1577571147
434,fukue,35.03,136.69,39.2,69,20,3.36,JP,1577571148
435,ugoofaaru,5.67,73.0,80.98,79,100,11.92,MV,1577571148
436,corrales,5.83,-72.84,55.94,91,100,2.75,CO,1577571148
437,coxim,-18.5,-54.75,89.33,57,35,4.97,BR,1577571148
438,ostrovnoy,68.05,39.51,20.1,83,100,39.48,RU,1577571149
439,waipawa,-39.94,176.59,65.41,40,2,3.58,NZ,1577571149
440,de aar,-30.65,24.01,74.8,26,16,2.75,ZA,1577571149
441,houston,29.76,-95.37,77.0,73,75,4.7,US,1577570880
442,khalkhal,37.62,48.53,28.85,81,75,4.21,IR,1577571026
443,dunda,30.62,78.32,38.08,34,0,4.05,IN,1577571150
444,coueron,47.22,-1.72,42.8,87,100,4.7,FR,1577571150
445,mocuba,-16.84,36.99,75.52,94,75,4.43,MZ,1577571151
446,lata,30.78,78.62,17.92,18,0,7.99,IN,1577570927
447,pacific grove,36.62,-121.92,60.01,50,1,6.93,US,1577570965
448,alta floresta,-9.87,-56.08,80.6,78,20,4.7,BR,1577571151
449,cavalcante,-13.79,-47.46,72.37,80,99,3.2,BR,1577571152
450,ramhormoz,31.28,49.6,55.42,61,0,5.32,IR,1577571152
451,crown point,41.42,-87.37,46.99,87,90,8.05,US,1577570858
452,mangan,27.5,88.54,35.46,25,0,7.56,IN,1577571152
453,termiz,37.23,67.28,50.0,64,0,4.7,AF,1577571152
454,mnogovershinnyy,53.94,139.92,-5.87,79,97,7.81,RU,1577571153
455,cascais,38.7,-9.42,60.01,76,0,6.93,PT,1577571153
456,ossora,59.24,163.07,1.63,87,76,15.59,RU,1577571153
457,luwuk,-0.95,122.79,82.33,74,100,9.4,ID,1577571154
458,siniscola,40.57,9.69,42.8,87,20,2.24,IT,1577571154
459,glace bay,46.2,-59.96,30.99,68,90,23.04,CA,1577571154
460,salto de agua,-34.61,-71.45,91.4,24,0,11.41,CL,1577571154
461,aykhal,65.95,111.51,-25.6,67,91,4.47,RU,1577571154
462,nybro,56.75,15.91,32.0,86,100,4.7,SE,1577571155
463,okhotsk,59.36,143.24,8.64,91,100,11.41,RU,1577571155
464,black river,18.03,-77.85,82.99,74,20,14.99,JM,1577571155
465,dzilam gonzalez,21.28,-88.93,74.93,76,0,11.21,MX,1577571156
